title,Mag_id,Volume_id,page-no,Author_id
Parallel Integer Sorting and Simulation Amongst CRCW Models.,4,33,607-619,6
NP-complete Problems Simplified on Tree Schemas.,4,20,171-178,8
Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,4,7,395-398,4
On the Power of Chain Rules in Context Free Grammars.,4,17,425-433,14
A characterization of rational D0L power series.,4,48,19-24,22
The Derivation of Systolic Implementations of Programs.,4,24,595-632,19
Pattern Matching in Trees and Nets.,4,20,227-248,7
Fifo Nets Without Order Deadlock.,4,25,15-36,11
On the Complementation Rule for Multivalued Dependencies in Database Relations.,4,10,297-305,4
Equational weighted tree transformations.,4,49,29-52,26
Calculi for Interaction.,4,33,707-737,17
Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,4,50,199-228,21
A Synthesis of Several Sorting Algorithms.,4,11,1-30,19
A Three-Stage Construction for Multiconnection Networks.,4,20,197-206,2
A Workload Model Representative of Static and Dynamic Characteristics.,4,23,255-266,14
Gray visiting Motzkins.,4,38,793-811,6
Branching Processes in the Analysis of the Heights of Trees.,4,24,277-298,9
The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,4,6,187-209,23
Trace- and failure-based semantics for responsiveness.,4,51,499-552,5
Least Upper Bound on the Cost of Optimum Binary Search Trees.,4,1,307-310,8
"Invariants, Composition, and Substitution.",4,32,299-312,28
Merged processes: a new condensed representation of Petri net behaviour.,4,43,307-330,15
Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,4,36,761-803,6
Hex ist PSPACE-vollständig.,4,15,167-191,17
Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,4,36,913-926,19
The Expressive Power of Delay Operators in SCCS.,4,28,447-452,6
Relational structures model of concurrency.,4,45,279-320,24
A theory of structural stationarity in the ,4,46,87-137,7
On an Equivalence between Continuation and Stack Semantics.,4,8,113-123,28
Maximum Entropy and the ,4,23,545-565,14
